Title,Date,Rating,Plot
Uma Batalha Após a Outra,2025,8.5/10,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue one of their own's daughter."
Superman,2025,7.2/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
A Hora do Mal,2025,7.6/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Quarteto Fantástico: Primeiros Passos,2025,7.1/10,"Forced to balance their roles as heroes with the strength of their family bond, the Fantastic Four must defend Earth from a ravenous space god called Galactus and his enigmatic herald, the S... Read all"
A Longa Marcha - Caminhe ou Morra,2025,7.3/10,"A group of teenage boys compete in an annual contest known as ""The Long Walk,"" in which they must maintain a certain walking speed or get shot."
Demon Slayer: Kimetsu no Yaiba Castelo Infinito,2025,8.6/10,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji be... Read all"
Extermínio: A Evolução,2025,6.7/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
Coração de Lutador - The Smashing Machine,2025,7.6/10,"The story of mixed-martial arts and UFC champion, Mark Kerr."
Invocação do Mal 4: O Último Ritual,2025,6.4/10,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.
Por inteiro,2024,6.3/10,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.
GOAT,2025,5.4/10,A young athlete descends into a world of terror when he's invited to train with a legendary champion whose charisma curdles into something darker.
Mantis,2025,5.4/10,"Mantis, an ace assassin, returns to the contract killer industry after a hiatus, encountering his trainee friend Jae-yi and a retired legendary killer Dok-go, who now runs the organization."
O Clube do Crime das Quintas-Feiras,2025,6.5/10,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hand... Read all"
Primitive War,2025,5.6/10,Vietnam. 1968. A recon unit known as Vulture Squad is sent to an isolated jungle valley to uncover the fate of a missing Green Beret platoon. They soon discover they are not alone.
A Grande Viagem da Sua Vida,2025,6.2/10,"Two strangers who meet at a mutual friend's wedding have the chance to relive important moments from their pasts, illuminating the path that led them to the present and gaining the opportuni... Read all"
Guerreiras do K-Pop,2025,7.6/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Olhos de Serpente,1998,6.1/10,Corrupt Atlantic City police officer Rick Santoro and Navy Commander Kevin Dunn join forces to investigate both the assassination of Secretary of Defense Charles Kirkland and the disappearan... Read all
O homem no meu porão,2025,4.6/10,"Charles Blakey, a man living in Sag Harbor, is stuck in a rut, out of luck and about to lose his ancestral home when a peculiar businessman with a European accent offers to rent his basement... Read all"
F1: O Filme,2025,7.7/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
A Paris Errada,2025,6.1/10,"A woman joins a dating show thinking it's in Paris, France for an art opportunity, but it's actually in Paris, Texas. She tries to get eliminated until falling for the bachelor, complicating... Read all"
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Ruth & Boaz,2025,5.8/10,Modern-day retelling of one of the most iconic love stories in the Bible. A young woman escapes the Atlanta music scene to care for an elderly widowed woman and in the process finds the love... Read all
Caçadores do Fim do Mundo,2025,4.5/10,"After a massive solar flare destroys the Earth's eastern hemisphere, an emboldened treasure hunter for hire adventures to Europe to uncover the coveted Mona Lisa, only to learn the world nee... Read all"
